(beauty salon, dry cleaner) 1
(post_office, parking) 0.0018957345971563982
(waste_basket, parking) 0.0018957345971563982
(dentist, parking) 0.0018957345971563982
(townhall, parking) 0.001579778830963665
(doctors, parking) 0.001579778830963665
(courthouse, parking) 0.001579778830963665
(parking, college) 0.001579778830963665
(place_of_worship, pharmacy) 0.001287001287001287
(bicycle_repair_station, place_of_worship) 0.001287001287001287
(theatre, place_of_worship) 0.001287001287001287
(post_box, place_of_worship) 0.001287001287001287
(parking_entrance, place_of_worship) 0.001287001287001287
(public_bookcase, place_of_worship) 0.001287001287001287
(ice_cream, place_of_worship) 0.001287001287001287
(place_of_worship, social_facility) 0.001287001287001287
(kindergarten, place_of_worship) 0.001287001287001287
(place_of_worship, police) 0.001287001287001287
(doctors, place_of_worship) 0.001287001287001287
(place_of_worship, atm) 0.001287001287001287
(place_of_worship, library) 0.001287001287001287
(dojo, place_of_worship) 0.001287001287001287
(place_of_worship, veterinary) 0.001287001287001287
(place_of_worship, pub) 0.001287001287001287
(place_of_worship, post_office) 0.001287001287001287
(conference_centre, school) 0.0012836970474967907
(school, bank) 0.0012836970474967907
(school, club) 0.0012836970474967907
(fountain, school) 0.0012836970474967907
(school, courthouse) 0.0012836970474967907
(social_facility, school) 0.0012836970474967907
(drinking_water, parking) 0.001263823064770932
(vending_machine, parking) 0.001263823064770932
(hospital, parking) 0.001263823064770932
(prison, parking) 0.001263823064770932
(waste_disposal, parking) 0.0009478672985781991
(public_bookcase, parking) 0.0009478672985781991
(swimming_pool, parking) 0.0009478672985781991
(parking, cinema) 0.0009478672985781991
(casino, parking) 0.0009478672985781991
(studio, parking) 0.000631911532385466
(bicycle_repair_station, parking) 0.000631911532385466
(marketplace, parking) 0.000631911532385466
(conference_centre, parking) 0.000631911532385466
(bus_station, parking) 0.000631911532385466
(parking, car_wash) 0.000631911532385466
(arts_centre, parking) 0.000631911532385466
(parking, animal_shelter) 0.000631911532385466
(picnic_area, parking) 0.000315955766192733
(ice_cream, parking) 0.000315955766192733
(healthcare, parking) 0.000315955766192733
(veterinary, parking) 0.000315955766192733
(parking, radio_studio) 0.000315955766192733
(parking, fountain) 0.000315955766192733
(parking, rail) 0.000315955766192733
(car_rental, parking) 0.000315955766192733
(parking, childcare) 0.000315955766192733
