Duration: 58099 s 
Number of collocations: 754
(('clinic', 'cafe'), 0.03896103896103896)
(('cafe', 'courthouse'), 0.03896103896103896)
(('studio', 'cafe'), 0.03896103896103896)
(('cafe', 'nightclub'), 0.03896103896103896)
(('cafe', 'post_office'), 0.03896103896103896)
(('fuel', 'parking'), 0.03886255924170616)
(('drinking_water', 'bench'), 0.03875968992248062)
(('parking', 'cafe'), 0.037914691943127965)
(('arts_centre', 'restaurant'), 0.0375)
(('restaurant', 'fountain'), 0.0375)
(('fuel', 'pharmacy'), 0.037383177570093455)
(('doctors', 'fuel'), 0.037383177570093455)
(('community_centre', 'cinema'), 0.037037037037037035)
(('community_centre', 'telephone'), 0.037037037037037035)
(('community_centre', 'events_venue'), 0.037037037037037035)
(('cafe', 'police'), 0.037037037037037035)
(('bicycle_parking', 'police'), 0.037037037037037035)
(('police', 'picnic_area'), 0.037037037037037035)
(('police', 'bus_station'), 0.037037037037037035)
(('police', 'parking_entrance'), 0.037037037037037035)
(('community_centre', 'post_box'), 0.037037037037037035)
(('clinic', 'fire_station'), 0.037037037037037035)
(('veterinary', 'police'), 0.037037037037037035)
(('community_centre', 'dojo'), 0.037037037037037035)
(('community_centre', 'arts_centre'), 0.037037037037037035)
(('community_centre', 'nightclub'), 0.037037037037037035)
(('dentist', 'police'), 0.037037037037037035)
(('police', 'nightclub'), 0.037037037037037035)
(('bar', 'parking'), 0.03665086887835703)
(('fountain', 'shelter'), 0.0364963503649635)
(('bicycle_parking', 'shelter'), 0.0364963503649635)
(('shelter', 'bicycle_rental'), 0.0364963503649635)
(('parking_entrance', 'restaurant'), 0.035)
(('restaurant', 'post_box'), 0.035)
(('restaurant', 'yes'), 0.035)
(('restaurant', 'picnic_area'), 0.035)
(('bus_station', 'theatre'), 0.034482758620689655)
(('theatre', 'public_bookcase'), 0.034482758620689655)
(('theatre', 'bicycle_repair_station'), 0.034482758620689655)
(('post_office', 'theatre'), 0.034482758620689655)
(('ice_cream', 'theatre'), 0.034482758620689655)
(('telephone', 'pub'), 0.03333333333333333)
(('pub', 'taxi'), 0.03333333333333333)
(('pub', 'drinking_water'), 0.03333333333333333)
(('atm', 'hospital'), 0.03333333333333333)
(('post_box', 'pub'), 0.03333333333333333)
(('waste_basket', 'pub'), 0.03333333333333333)
(('pub', 'bicycle_repair_station'), 0.03333333333333333)
(('dojo', 'pub'), 0.03333333333333333)
(('arts_centre', 'pub'), 0.03333333333333333)
(('dentist', 'pub'), 0.03333333333333333)
(('post_office', 'pub'), 0.03333333333333333)
(('nightclub', 'pub'), 0.03333333333333333)
(('pub', 'police'), 0.03333333333333333)
(('pub', 'theatre'), 0.03333333333333333)
(('bicycle_rental', 'parking'), 0.032859399684044235)
(('bank', 'doctors'), 0.03278688524590164)
(('bank', 'toilets'), 0.03278688524590164)
(('bank', 'events_venue'), 0.03278688524590164)
(('bicycle_parking', 'university'), 0.03278688524590164)
(('bicycle_parking', 'hospital'), 0.03278688524590164)
(('waste_basket', 'bank'), 0.03278688524590164)
(('courthouse', 'bank'), 0.03278688524590164)
(('bank', 'yes'), 0.03278688524590164)
(('parking_entrance', 'bank'), 0.03278688524590164)
(('community_centre', 'bank'), 0.03278688524590164)
(('bank', 'dojo'), 0.03278688524590164)
(('bank', 'dentist'), 0.03278688524590164)
(('bank', 'nightclub'), 0.03278688524590164)
(('fuel', 'cafe'), 0.03271028037383177)
(('bench', 'restaurant'), 0.0325)
(('restaurant', 'drinking_water'), 0.0325)
(('restaurant', 'waste_basket'), 0.0325)
(('restaurant', 'police'), 0.0325)
(('fast_food', 'waste_basket'), 0.03225806451612903)
(('bicycle_repair_station', 'fast_food'), 0.03225806451612903)
(('post_office', 'fast_food'), 0.03225806451612903)
(('bar', 'fire_station'), 0.03125)
(('bar', 'clinic'), 0.03125)
(('toilets', 'bar'), 0.03125)
(('bar', 'police'), 0.03125)
(('bar', 'public_bookcase'), 0.03125)
(('bar', 'parking_entrance'), 0.03125)
(('cinema', 'bench'), 0.031007751937984496)
(('bench', 'telephone'), 0.031007751937984496)
(('bench', 'atm'), 0.031007751937984496)
(('library', 'bench'), 0.031007751937984496)
(('pharmacy', 'townhall'), 0.03076923076923077)
(('post_box', 'pharmacy'), 0.03076923076923077)
(('library', 'pharmacy'), 0.03076923076923077)
(('veterinary', 'pharmacy'), 0.03076923076923077)
(('dentist', 'pharmacy'), 0.03076923076923077)
(('pharmacy', 'toilets'), 0.03076923076923077)
(('pharmacy', 'public_building'), 0.03076923076923077)
(('pharmacy', 'pub'), 0.03076923076923077)
(('public_building', 'courthouse'), 0.030303030303030304)
(('public_building', 'waste_basket'), 0.030303030303030304)
(('public_building', 'police'), 0.030303030303030304)
(('public_building', 'bus_station'), 0.030303030303030304)
(('casino', 'public_building'), 0.030303030303030304)
(('social_facility', 'public_building'), 0.030303030303030304)
(('restaurant', 'shelter'), 0.03)
(('fast_food', 'parking'), 0.029699842022116903)
(('shelter', 'theatre'), 0.029197080291970802)
(('bar', 'shelter'), 0.029197080291970802)
(('shelter', 'parking_entrance'), 0.029197080291970802)
(('shelter', 'bicycle_repair_station'), 0.029197080291970802)
(('shelter', 'public_building'), 0.029197080291970802)
(('place_of_worship', 'fast_food'), 0.028314028314028315)
(('bar', 'fuel'), 0.028037383177570093)
(('hospital', 'clinic'), 0.027777777777777776)
(('car_wash', 'clinic'), 0.027777777777777776)
(('veterinary', 'clinic'), 0.027777777777777776)
(('college', 'clinic'), 0.027777777777777776)
(('clinic', 'animal_boarding'), 0.027777777777777776)
(('townhall', 'restaurant'), 0.0275)
(('restaurant', 'place_of_worship'), 0.02702702702702703)
(('parking', 'school'), 0.02622432859399684)
(('fire_station', 'cafe'), 0.025974025974025976)
(('cafe', 'post_box'), 0.025974025974025976)
(('cafe', 'events_venue'), 0.025974025974025976)
(('cafe', 'yes'), 0.025974025974025976)
(('dojo', 'cafe'), 0.025974025974025976)
(('fast_food', 'fire_station'), 0.025806451612903226)
(('fast_food', 'shelter'), 0.025806451612903226)
(('fast_food', 'toilets'), 0.025806451612903226)
(('theatre', 'fast_food'), 0.025806451612903226)
(('fast_food', 'courthouse'), 0.025806451612903226)
(('restaurant', 'atm'), 0.025)
(('clinic', 'restaurant'), 0.025)
(('bus_station', 'restaurant'), 0.025)
(('post_office', 'fuel'), 0.02336448598130841)
(('library', 'fuel'), 0.02336448598130841)
(('casino', 'bicycle_rental'), 0.022727272727272728)
(('arts_centre', 'bicycle_rental'), 0.022727272727272728)
(('vending_machine', 'bicycle_rental'), 0.022727272727272728)
(('food_court', 'bicycle_rental'), 0.022727272727272728)
(('bicycle_rental', 'bus_station'), 0.022727272727272728)
(('fountain', 'bicycle_rental'), 0.022727272727272728)
(('bank', 'parking'), 0.022116903633491312)
(('bench', 'shelter'), 0.021897810218978103)
(('shelter', 'public_bookcase'), 0.021897810218978103)
(('drinking_water', 'bar'), 0.020833333333333332)
(('vending_machine', 'bar'), 0.020833333333333332)
(('bus_station', 'bar'), 0.020833333333333332)
(('bar', 'yes'), 0.020833333333333332)
(('bar', 'waste_basket'), 0.020833333333333332)
(('community_centre', 'bar'), 0.020833333333333332)
(('community_centre', 'toilets'), 0.02040816326530612)
(('cinema', 'toilets'), 0.02040816326530612)
(('pub', 'toilets'), 0.02040816326530612)
(('toilets', 'college'), 0.02040816326530612)
(('fountain', 'toilets'), 0.02040816326530612)
(('library', 'police'), 0.02040816326530612)
(('post_box', 'library'), 0.02040816326530612)
(('waste_basket', 'library'), 0.02040816326530612)
(('library', 'parking_entrance'), 0.02040816326530612)
(('public_building', 'toilets'), 0.02040816326530612)
(('police', 'toilets'), 0.02040816326530612)
(('courthouse', 'toilets'), 0.02040816326530612)
(('toilets', 'bicycle_repair_station'), 0.02040816326530612)
(('toilets', 'ice_cream'), 0.02040816326530612)
(('post_office', 'library'), 0.02040816326530612)
(('nightclub', 'library'), 0.02040816326530612)
(('dentist', 'library'), 0.02040816326530612)
(('parking', 'bicycle_parking'), 0.019589257503949447)
(('car_wash', 'fast_food'), 0.01935483870967742)
(('doctors', 'fast_food'), 0.01935483870967742)
(('fast_food', 'townhall'), 0.01935483870967742)
(('public_bookcase', 'fast_food'), 0.01935483870967742)
(('nightclub', 'fast_food'), 0.01935483870967742)
(('fast_food', 'marketplace'), 0.01935483870967742)
(('fast_food', 'community_centre'), 0.01935483870967742)
(('pub', 'fuel'), 0.018691588785046728)
(('waste_basket', 'fuel'), 0.018691588785046728)
(('fire_station', 'community_centre'), 0.018518518518518517)
(('library', 'fire_station'), 0.018518518518518517)
