Duration: 919 s 
Number of collocations: 1489
(('outpost', 'outpost'), 1)
(('taxi', 'payment_terminal'), 0.017241379310344827)
(('nightclub', 'payment_terminal'), 0.017241379310344827)
(('payment_terminal', 'language_school'), 0.017241379310344827)
(('kick-scooter_rental', 'payment_terminal'), 0.017241379310344827)
(('payment_terminal', 'coworking_space'), 0.017241379310344827)
(('training', 'fast_food'), 0.016985138004246284)
(('fast_food', 'ice_cream'), 0.016985138004246284)
(('theatre', 'fast_food'), 0.016985138004246284)
(('cafe', 'training'), 0.016967706622879036)
(('school', 'place_of_worship'), 0.016877637130801686)
(('bank', 'kindergarten'), 0.016765285996055226)
(('bank', 'doctors'), 0.016765285996055226)
(('restaurant', 'hookah_lounge'), 0.016666666666666666)
(('theatre', 'bicycle_rental'), 0.016666666666666666)
(('parking_entrance', 'place_of_worship'), 0.016574585635359115)
(('pub', 'parking_entrance'), 0.016574585635359115)
(('bicycle_parking', 'nightclub'), 0.016467065868263474)
(('bicycle_rental', 'place_of_worship'), 0.01643835616438356)
(('bar', 'doctors'), 0.01639344262295082)
(('bar', 'cinema'), 0.01639344262295082)
(('theatre', 'university'), 0.01639344262295082)
(('university', 'pub'), 0.01639344262295082)
(('theatre', 'pub'), 0.016194331983805668)
(('post_office', 'pub'), 0.016194331983805668)
(('pub', 'library'), 0.016194331983805668)
(('police', 'waste_disposal'), 0.016144349477682812)
(('bicycle_rental', 'parking'), 0.016122689736531654)
(('restaurant', 'stripclub'), 0.016049382716049384)
(('post_office', 'vending_machine'), 0.016042780748663103)
(('clinic', 'embassy'), 0.015968063872255488)
(('hookah_lounge', 'veterinary'), 0.015873015873015872)
(('ice_cream', 'hookah_lounge'), 0.015873015873015872)
(('cinema', 'hookah_lounge'), 0.015873015873015872)
(('hookah_lounge', 'coworking_space'), 0.015873015873015872)
(('hookah_lounge', 'photo_lab'), 0.015873015873015872)
(('language_school', 'hookah_lounge'), 0.015873015873015872)
(('bank', 'payment_terminal'), 0.015779092702169626)
(('bench', 'bar'), 0.015710163513946777)
(('police', 'bureau_de_change'), 0.015503875968992248)
(('police', 'telephone'), 0.015503875968992248)
(('bench', 'place_of_worship'), 0.015389547932029497)
(('pub', 'toilets'), 0.015384615384615385)
(('doctors', 'waste_disposal'), 0.015194681861348529)
(('arts_centre', 'recycling'), 0.015151515151515152)
(('recycling', 'payment_terminal'), 0.015151515151515152)
(('recycling', 'cinema'), 0.015151515151515152)
(('recycling', 'marketplace'), 0.015151515151515152)
(('vending_machine', 'embassy'), 0.014973262032085561)
(('bicycle_parking', 'payment_terminal'), 0.014970059880239521)
(('police', 'community_centre'), 0.014925373134328358)
(('public_service', 'community_centre'), 0.014925373134328358)
(('community_centre', 'language_school'), 0.014925373134328358)
(('fire_station', 'community_centre'), 0.014925373134328358)
(('atm', 'university'), 0.014858841010401188)
(('recycling', 'atm'), 0.014858841010401188)
(('payment_terminal', 'fountain'), 0.01485148514851485)
(('restaurant', 'doctors'), 0.014814814814814815)
(('bench', 'doctors'), 0.014748316768194934)
(('dentist', 'bicycle_rental'), 0.014705882352941176)
(('dentist', 'university'), 0.014705882352941176)
(('post_office', 'dentist'), 0.014705882352941176)
(('restaurant', 'university'), 0.014197530864197531)
(('childcare', 'doctors'), 0.014184397163120567)
(('hookah_lounge', 'doctors'), 0.014184397163120567)
(('public_service', 'doctors'), 0.014184397163120567)
(('community_centre', 'doctors'), 0.014184397163120567)
(('waste_basket', 'clinic'), 0.014014839241549877)
(('hookah_lounge', 'clinic'), 0.013972055888223553)
(('clinic', 'university'), 0.013972055888223553)
(('bicycle_rental', 'clinic'), 0.013972055888223553)
(('library', 'clinic'), 0.013972055888223553)
(('vending_machine', 'kindergarten'), 0.013903743315508022)
(('bank', 'university'), 0.013806706114398421)
(('fast_food', 'university'), 0.013800424628450107)
(('fast_food', 'hookah_lounge'), 0.013800424628450107)
(('arts_centre', 'embassy'), 0.013793103448275862)
(('place_of_worship', 'pub'), 0.0136986301369863)
(('drinking_water', 'place_of_worship'), 0.0136986301369863)
(('kindergarten', 'pharmacy'), 0.01366742596810934)
(('public_service', 'bicycle_parking'), 0.01347305389221557)
(('toilets', 'parking'), 0.013370035391270154)
(('clock', 'bicycle_rental'), 0.013333333333333334)
(('drinking_water', 'bicycle_rental'), 0.013333333333333334)
(('training', 'bicycle_rental'), 0.013333333333333334)
(('hookah_lounge', 'waste_disposal'), 0.013295346628679962)
(('waste_basket', 'parking_entrance'), 0.013190436933223413)
(('cafe', 'fountain'), 0.013136288998357963)
(('restaurant', 'fountain'), 0.012962962962962963)
(('post_office', 'doctors'), 0.012903225806451613)
(('post_office', 'payment_terminal'), 0.012903225806451613)
(('bar', 'post_office'), 0.012903225806451613)
(('veterinary', 'post_office'), 0.012903225806451613)
(('post_office', 'police'), 0.012903225806451613)
(('toilets', 'shelter'), 0.01282051282051282)
(('toilets', 'police'), 0.01282051282051282)
(('bank', 'place_of_worship'), 0.01282051282051282)
(('post_box', 'toilets'), 0.01282051282051282)
(('ice_cream', 'toilets'), 0.01282051282051282)
(('post_box', 'fast_food'), 0.012738853503184714)
(('fast_food', 'clock'), 0.012738853503184714)
(('fast_food', 'post_office'), 0.012738853503184714)
(('fast_food', 'place_of_worship'), 0.012738853503184714)
(('pharmacy', 'theatre'), 0.012528473804100227)
(('waste_basket', 'post_box'), 0.01236603462489695)
(('waste_basket', 'ice_cream'), 0.01236603462489695)
(('post_office', 'restaurant'), 0.012345679012345678)
(('toilets', 'waste_disposal'), 0.012345679012345678)
(('car_wash', 'waste_disposal'), 0.012345679012345678)
(('training', 'university'), 0.012295081967213115)
(('pub', 'recycling'), 0.012145748987854251)
(('cinema', 'pub'), 0.012145748987854251)
