Duration: 79 s 

Number of collocations: 1208

(('ferry_terminal', 'ferry_terminal'), 1)
(('drinking_water', 'fountain'), 0.058823529411764705)
(('fountain', 'deloitte'), 0.058823529411764705)
(('parking_entrance', 'bus_station'), 0.058823529411764705)
(('picnic_area', 'fountain'), 0.058823529411764705)
(('yes', 'fountain'), 0.058823529411764705)
(('ice_cream', 'fountain'), 0.058823529411764705)
(('fountain', 'casino'), 0.058823529411764705)
(('social_facility', 'dentist'), 0.058823529411764705)
(('beauty salon', 'dentist'), 0.058823529411764705)
(('conference_centre', 'parking_entrance'), 0.058823529411764705)
(('parking_entrance', 'rail'), 0.058823529411764705)
(('parking_entrance', 'waste_disposal'), 0.058823529411764705)
(('dentist', 'bicycle_repair_station'), 0.058823529411764705)
(('dentist', 'studio'), 0.058823529411764705)
(('childcare', 'dentist'), 0.058823529411764705)
(('animal_boarding', 'dentist'), 0.058823529411764705)
(('car_wash', 'ice_cream'), 0.058823529411764705)
(('car_wash', 'dentist'), 0.058823529411764705)
(('car_rental', 'car_wash'), 0.058823529411764705)
(('dentist', 'dry cleaner'), 0.058823529411764705)
(('police', 'parking'), 0.058135860979462876)
(('fast_food', 'nightclub'), 0.05806451612903226)
(('fuel', 'school'), 0.057766367137355584)
(('restaurant', 'atm'), 0.0575)
(('restaurant', 'picnic_area'), 0.0575)
(('fuel', 'car_wash'), 0.056074766355140186)
(('fuel', 'fire_station'), 0.056074766355140186)
(('fire_station', 'pharmacy'), 0.05555555555555555)
(('post_office', 'clinic'), 0.05555555555555555)
(('fire_station', 'parking_entrance'), 0.05555555555555555)
