Duration: 799 s 

Number of collocations: 2297

(('feeding_place', 'feeding_place'), 1)
(('community_centre', 'theatre'), 0.06626506024096386)
(('theatre', 'embassy'), 0.06626506024096386)
(('theatre', 'library'), 0.06626506024096386)
(('pharmacy', 'post_office'), 0.06605922551252848)
(('clinic', 'place_of_worship'), 0.0658682634730539)
(('payment_terminal', 'fast_food'), 0.06581740976645435)
(('school', 'parking'), 0.0656704679512387)
(('bar', 'university'), 0.06557377049180328)
(('bench', 'place_of_worship'), 0.06540557871112536)
(('waste_basket', 'telephone'), 0.0651277823577906)
(('pub', 'doctors'), 0.06477732793522267)
(('pub', 'post_office'), 0.06477732793522267)
(('place_of_worship', 'dentist'), 0.06470588235294118)
(('post_office', 'recycling'), 0.06451612903225806)
(('clinic', 'theatre'), 0.06387225548902195)
(('fast_food', 'bureau_de_change'), 0.06369426751592357)
(('parking_entrance', 'place_of_worship'), 0.06353591160220995)
(('doctors', 'parking_entrance'), 0.06353591160220995)
(('hookah_lounge', 'cinema'), 0.06349206349206349)
(('bicycle_rental', 'post_box'), 0.06333333333333334)
(('pub', 'vending_machine'), 0.06310160427807486)
(('cafe', 'university'), 0.06294471811713191)
(('parking_entrance', 'pharmacy'), 0.06264236902050115)
(('device_charging_station', 'food_court'), 0.0625)
(('food_court', 'love_hotel'), 0.0625)
(('cafe', 'doctors'), 0.06239737274220033)
(('telephone', 'bank'), 0.0621301775147929)
(('bank', 'place_of_worship'), 0.0621301775147929)
(('bicycle_rental', 'clinic'), 0.06187624750499002)
(('toilets', 'theatre'), 0.06153846153846154)
(('restaurant', 'university'), 0.06111111111111111)
(('restaurant', 'nightclub'), 0.06111111111111111)
(('atm', 'place_of_worship'), 0.06092124814264487)
(('bench', 'theatre'), 0.06059634498236614)
(('fast_food', 'post_box'), 0.06050955414012739)
(('place_of_worship', 'pub'), 0.06027397260273973)
(('theatre', 'telephone'), 0.060240963855421686)
(('telephone', 'cafe'), 0.060207991242474)
(('bank', 'school'), 0.0601577909270217)
(('restaurant', 'telephone'), 0.059876543209876544)
(('cafe', 'hookah_lounge'), 0.05966064586754242)
(('payment_terminal', 'atm'), 0.05943536404160475)
(('shelter', 'fountain'), 0.0594059405940594)
(('telephone', 'bar'), 0.05901639344262295)
(('waste_disposal', 'place_of_worship'), 0.05887939221272555)
(('vending_machine', 'university'), 0.058823529411764705)
(('dentist', 'university'), 0.058823529411764705)
(('post_office', 'bicycle_parking'), 0.058383233532934134)
(('bicycle_parking', 'school'), 0.058383233532934134)
(('bicycle_parking', 'bureau_de_change'), 0.058383233532934134)
(('pharmacy', 'place_of_worship'), 0.05808656036446469)
(('telephone', 'post_office'), 0.05806451612903226)
(('post_office', 'post_office'), 0.05806451612903226)
(('post_office', 'restaurant'), 0.05802469135802469)
(('cafe', 'post_office'), 0.05747126436781609)
(('theatre', 'university'), 0.05737704918032787)
(('toilets', 'parking'), 0.05701926858041683)
(('school', 'place_of_worship'), 0.056962025316455694)
(('bicycle_parking', 'nightclub'), 0.05688622754491018)
(('telephone', 'doctors'), 0.05673758865248227)
(('training', 'pub'), 0.05668016194331984)
(('parking', 'bar'), 0.05662603224537947)
(('nightclub', 'cinema'), 0.05660377358490566)
(('toilets', 'payment_terminal'), 0.05641025641025641)
(('restaurant', 'doctors'), 0.05617283950617284)
(('dentist', 'theatre'), 0.05588235294117647)
(('pharmacy', 'post_box'), 0.05580865603644647)
(('bar', 'doctors'), 0.05573770491803279)
(('bar', 'training'), 0.05573770491803279)
(('college', 'driving_school'), 0.05555555555555555)
(('bicycle_parking', 'fountain'), 0.05538922155688623)
(('fast_food', 'shelter'), 0.055201698513800426)
(('waste_disposal', 'university'), 0.055080721747388414)
(('payment_terminal', 'pharmacy'), 0.05466970387243736)
(('bicycle_rental', 'parking'), 0.05465985057019269)
(('theatre', 'fountain'), 0.054455445544554455)
(('hookah_lounge', 'restaurant'), 0.05432098765432099)
(('doctors', 'bank'), 0.054240631163708086)
(('cafe', 'fountain'), 0.054187192118226604)
(('telephone', 'bench'), 0.05418403334402052)
(('drinking_water', 'monastery'), 0.05405405405405406)
(('clinic', 'toilets'), 0.05389221556886228)
(('parking_entrance', 'toilets'), 0.05384615384615385)
(('bicycle_rental', 'library'), 0.05333333333333334)
(('bicycle_rental', 'bicycle_rental'), 0.05333333333333334)
(('clock', 'post_box'), 0.05319148936170213)
(('waste_disposal', 'pub'), 0.05318138651471985)
(('post_box', 'hospital'), 0.05309734513274336)
(('cinema', 'restaurant'), 0.05308641975308642)
(('fast_food', 'theatre'), 0.05307855626326964)
(('dentist', 'library'), 0.052941176470588235)
(('dentist', 'post_office'), 0.052941176470588235)
(('parking_entrance', 'school'), 0.052742616033755275)
(('drinking_water', 'childcare'), 0.05263157894736842)
(('clock', 'clock'), 0.05263157894736842)
(('car_wash', 'pub'), 0.05263157894736842)
(('smoking_area', 'taxi'), 0.05263157894736842)
(('bar', 'library'), 0.05245901639344262)
(('pharmacy', 'school'), 0.05239179954441914)
(('car_wash', 'parking'), 0.05230043255996854)
(('bicycle_rental', 'waste_disposal'), 0.052231718898385564)
(('university', 'place_of_worship'), 0.052054794520547946)
(('clinic', 'university'), 0.05189620758483034)
(('language_school', 'payment_terminal'), 0.05172413793103448)
(('payment_terminal', 'money_transfer'), 0.05172413793103448)
(('vending_machine', 'embassy'), 0.051336898395721926)
(('toilets', 'cinema'), 0.05128205128205128)
(('waste_basket', 'kindergarten'), 0.051112943116240726)
(('bench', 'kindergarten'), 0.05065726194293042)
(('waste_disposal', 'toilets'), 0.050332383665717)
(('post_office', 'waste_basket'), 0.05028854080791426)
(('parking_entrance', 'bicycle_rental'), 0.05)
(('nightclub', 'training'), 0.04950495049504951)
(('post_box', 'waste_basket'), 0.0494641384995878)
(('restaurant', 'fountain'), 0.04938271604938271)
(('waste_disposal', 'doctors'), 0.04938271604938271)
(('bank', 'theatre'), 0.04930966469428008)
(('bar', 'payment_terminal'), 0.04918032786885246)
(('bench', 'shelter'), 0.04873356845142674)
(('toilets', 'drinking_water'), 0.04871794871794872)
(('nightclub', 'cafe'), 0.04871373836891078)
(('training', 'embassy'), 0.04827586206896552)
(('theatre', 'bureau_de_change'), 0.04819277108433735)
(('vending_machine', 'theatre'), 0.0481283422459893)
(('vending_machine', 'telephone'), 0.0481283422459893)
