Duration: 950 s 
Number of collocations: 3582
(('feeding_place', 'feeding_place'), 1)
(('waste_basket', 'bar'), 0.2588623248145095)
(('recycling', 'recycling'), 0.25757575757575757)
(('vending_machine', 'waste_basket'), 0.25668449197860965)
(('theatre', 'clinic'), 0.2554890219560878)
(('bicycle_parking', 'fountain'), 0.25449101796407186)
(('post_office', 'bank'), 0.25443786982248523)
(('bank', 'university'), 0.25443786982248523)
(('restaurant', 'post_office'), 0.254320987654321)
(('telephone', 'toilets'), 0.25384615384615383)
(('bicycle_rental', 'university'), 0.25333333333333335)
(('telephone', 'theatre'), 0.25301204819277107)
(('theatre', 'embassy'), 0.25301204819277107)
(('post_office', 'dentist'), 0.2529411764705882)
(('pub', 'fountain'), 0.2524752475247525)
(('fast_food', 'school'), 0.2515923566878981)
(('pub', 'embassy'), 0.25101214574898784)
(('post_office', 'waste_basket'), 0.25061830173124483)
(('bicycle_parking', 'telephone'), 0.25)
(('piano', 'motorcycle_parking'), 0.25)
(('post_office', 'bar'), 0.24918032786885247)
(('training', 'parking_entrance'), 0.24861878453038674)
(('parking_entrance', 'fountain'), 0.24861878453038674)
(('waste_disposal', 'toilets'), 0.24786324786324787)
(('hospital', 'hospital'), 0.24778761061946902)
(('training', 'training'), 0.24752475247524752)
(('post_box', 'pub'), 0.24696356275303644)
(('cafe', 'fountain'), 0.24685276409414342)
(('restaurant', 'bureau_de_change'), 0.2462962962962963)
(('toilets', 'dentist'), 0.24615384615384617)
(('bank', 'theatre'), 0.24358974358974358)
(('post_box', 'waste_basket'), 0.24319868095630667)
(('theatre', 'parking_entrance'), 0.2430939226519337)
(('waste_basket', 'parking'), 0.24144710971293748)
(('doctors', 'restaurant'), 0.24074074074074073)
(('library', 'library'), 0.24060150375939848)
(('post_office', 'bicycle_rental'), 0.24)
(('telephone', 'bar'), 0.23934426229508196)
(('pharmacy', 'doctors'), 0.23917995444191345)
(('community_centre', 'community_centre'), 0.23880597014925373)
(('place_of_worship', 'school'), 0.23839662447257384)
(('stripclub', 'hookah_lounge'), 0.23809523809523808)
(('telephone', 'fountain'), 0.2376237623762376)
(('waste_disposal', 'place_of_worship'), 0.23741690408357075)
(('bench', 'theatre'), 0.2350112215453671)
(('fuel', 'fuel'), 0.23448275862068965)
(('cafe', 'post_office'), 0.23426382047071703)
(('bicycle_rental', 'kindergarten'), 0.23260437375745527)
(('kindergarten', 'waste_basket'), 0.23260437375745527)
(('parking_entrance', 'post_office'), 0.23225806451612904)
(('parking_entrance', 'police'), 0.23204419889502761)
(('bank', 'bureau_de_change'), 0.23076923076923078)
(('fast_food', 'fountain'), 0.23036093418259024)
(('pub', 'university'), 0.22950819672131148)
(('training', 'bar'), 0.22950819672131148)
(('police', 'dentist'), 0.22941176470588234)
(('toilets', 'parking'), 0.2292567833267794)
(('restaurant', 'embassy'), 0.22901234567901235)
(('bank', 'doctors'), 0.22879684418145957)
(('waste_basket', 'telephone'), 0.22835943940643033)
(('place_of_worship', 'waste_basket'), 0.22835943940643033)
(('fast_food', 'bureau_de_change'), 0.22823779193205945)
(('doctors', 'clinic'), 0.2275449101796407)
(('bicycle_rental', 'fountain'), 0.22666666666666666)
(('waste_disposal', 'bar'), 0.22602089268755934)
(('atm', 'telephone'), 0.22585438335809807)
(('post_box', 'post_office'), 0.22580645161290322)
(('bar', 'university'), 0.22540983606557377)
(('kindergarten', 'post_office'), 0.22465208747514911)
(('parking_entrance', 'embassy'), 0.22375690607734808)
(('telephone', 'post_box'), 0.22340425531914893)
(('bicycle_rental', 'theatre'), 0.22333333333333333)
(('cafe', 'doctors'), 0.2233169129720854)
(('bar', 'police'), 0.22295081967213115)
(('waste_disposal', 'doctors'), 0.2222222222222222)
(('love_hotel', 'love_hotel'), 0.2222222222222222)
(('telephone', 'bank'), 0.22189349112426035)
(('bicycle_parking', 'post_office'), 0.2215568862275449)
(('bicycle_parking', 'training'), 0.22005988023952097)
(('pharmacy', 'bureau_de_change'), 0.21981776765375854)
(('library', 'bar'), 0.21967213114754097)
(('telephone', 'police'), 0.21705426356589147)
(('university', 'place_of_worship'), 0.21643835616438356)
(('cafe', 'bureau_de_change'), 0.21620142309797483)
(('fast_food', 'kindergarten'), 0.21549893842887474)
(('bureau_de_change', 'nightclub'), 0.21505376344086022)
(('dentist', 'theatre'), 0.21470588235294116)
(('post_office', 'waste_disposal'), 0.21462488129154797)
(('pub', 'police'), 0.2145748987854251)
(('pharmacy', 'university'), 0.214123006833713)
(('pharmacy', 'telephone'), 0.214123006833713)
(('post_office', 'atm'), 0.2139673105497771)
(('bar', 'embassy'), 0.21311475409836064)
(('bicycle_rental', 'school'), 0.21308016877637131)
(('parking_entrance', 'school'), 0.21308016877637131)
(('post_office', 'theatre'), 0.2129032258064516)
(('post_box', 'post_box'), 0.2127659574468085)
(('waste_basket', 'police'), 0.21269579554822754)
