Duration: 258 s 
Number of collocations: 2217
(('payment_terminal', 'payment_terminal'), 1)
(('embassy', 'library'), 0.22033898305084745)
(('cafe', 'drinking_water'), 0.2196969696969697)
(('ice_cream', 'public_building'), 0.21951219512195122)
(('place_of_worship', 'kindergarten'), 0.21875)
(('cafe', 'community_centre'), 0.21875)
(('community_centre', 'police'), 0.21875)
(('bank', 'community_centre'), 0.21875)
(('recycling', 'doctors'), 0.21843003412969283)
(('bench', 'school'), 0.21721311475409835)
(('restaurant', 'townhall'), 0.21690140845070421)
(('shelter', 'place_of_worship'), 0.21656976744186046)
(('waste_basket', 'bicycle_parking'), 0.21348314606741572)
(('post_office', 'community_centre'), 0.21333333333333335)
(('toilets', 'fountain'), 0.21333333333333335)
(('cafe', 'parking_entrance'), 0.21212121212121213)
(('bicycle_rental', 'kindergarten'), 0.2109375)
(('post_office', 'bench'), 0.2109375)
(('waste_basket', 'waste_disposal'), 0.2109181141439206)
(('bicycle_repair_station', 'bicycle_repair_station'), 0.21052631578947367)
(('post_office', 'vending_machine'), 0.2094240837696335)
(('fast_food', 'bar'), 0.20915032679738563)
(('fast_food', 'stripclub'), 0.20915032679738563)
(('bureau_de_change', 'language_school'), 0.20689655172413793)
(('shelter', 'fuel'), 0.2063953488372093)
(('kindergarten', 'bicycle_parking'), 0.2050561797752809)
(('bicycle_parking', 'embassy'), 0.2050561797752809)
(('vending_machine', 'pub'), 0.20418848167539266)
(('bicycle_rental', 'pub'), 0.20353982300884957)
(('post_office', 'shelter'), 0.20348837209302326)
(('waste_disposal', 'place_of_worship'), 0.20347394540942929)
(('waste_disposal', 'fast_food'), 0.20347394540942929)
(('library', 'community_centre'), 0.2033898305084746)
(('library', 'bureau_de_change'), 0.2033898305084746)
(('pub', 'library'), 0.2033898305084746)
(('doctors', 'car_wash'), 0.2028985507246377)
(('university', 'fast_food'), 0.20261437908496732)
(('shelter', 'parking_entrance'), 0.20203488372093023)
(('post_office', 'school'), 0.20081967213114754)
(('cafe', 'post_office'), 0.2)
(('atm', 'kindergarten'), 0.2)
(('fire_station', 'college'), 0.2)
(('bureau_de_change', 'clock'), 0.2)
(('car_rental', 'childcare'), 0.2)
(('drinking_water', 'restaurant'), 0.2)
(('nightclub', 'language_school'), 0.2)
(('arts_centre', 'childcare'), 0.2)
(('studio', 'nightclub'), 0.2)
(('stripclub', 'arts_centre'), 0.2)
(('arts_centre', 'language_school'), 0.2)
(('arts_centre', 'theatre'), 0.2)
(('theatre', 'clock'), 0.2)
(('embassy', 'monastery'), 0.2)
(('pub', 'monastery'), 0.2)
(('nightclub', 'monastery'), 0.2)
(('bar', 'monastery'), 0.2)
(('language_school;offices', 'monastery'), 0.2)
(('stripclub', 'monastery'), 0.2)
(('drinking_water', 'monastery'), 0.2)
(('bus_station', 'monastery'), 0.2)
(('biergarten', 'monastery'), 0.2)
(('drinking_water', 'beater'), 0.2)
(('vacuum_cleaner', 'vacuum_cleaner'), 0.2)
(('compressed_air', 'compressed_air'), 0.2)
(('courthouse', 'monastery'), 0.2)
(('cafe', 'cinema'), 0.19696969696969696)
(('vending_machine', 'school'), 0.19672131147540983)
(('fast_food', 'bicycle_repair_station'), 0.19607843137254902)
(('post_office', 'place_of_worship'), 0.1951219512195122)
(('cafe', 'place_of_worship'), 0.1951219512195122)
(('university', 'bank'), 0.19480519480519481)
(('bank', 'public_building'), 0.19480519480519481)
(('bicycle_rental', 'library'), 0.19469026548672566)
(('university', 'bicycle_rental'), 0.19469026548672566)
(('fountain', 'clock'), 0.19444444444444445)
(('fountain', 'monastery'), 0.19444444444444445)
(('parking_entrance', 'taxi'), 0.19393939393939394)
(('bureau_de_change', 'vending_machine'), 0.193717277486911)
(('library', 'university'), 0.19298245614035087)
(('cafe', 'pharmacy'), 0.1926605504587156)
(('atm', 'library'), 0.19245283018867926)
(('police', 'marketplace'), 0.19230769230769232)
(('bureau_de_change', 'police'), 0.19230769230769232)
(('restaurant', 'university'), 0.19154929577464788)
(('recycling', 'car_wash'), 0.19112627986348124)
(('parking_entrance', 'recycling'), 0.19112627986348124)
(('bicycle_parking', 'doctors'), 0.19101123595505617)
(('library', 'parking'), 0.18959537572254334)
(('fast_food', 'cinema'), 0.1895424836601307)
(('bicycle_repair_station', 'cafe'), 0.1893939393939394)
(('cafe', 'clock'), 0.1893939393939394)
(('restaurant', 'social_facility'), 0.18873239436619718)
(('atm', 'fuel'), 0.18867924528301888)
(('waste_disposal', 'library'), 0.18858560794044665)
(('taxi', 'doctors'), 0.18840579710144928)
(('bank', 'ice_cream'), 0.18831168831168832)
(('telephone', 'bank'), 0.18831168831168832)
(('parking_entrance', 'pharmacy'), 0.18807339449541285)
(('shelter', 'cafe'), 0.1875)
(('community_centre', 'marketplace'), 0.1875)
(('community_centre', 'bureau_de_change'), 0.1875)
(('library', 'post_office'), 0.18666666666666668)
(('library', 'police'), 0.1864406779661017)
(('theatre', 'library'), 0.1864406779661017)
(('bicycle_parking', 'nightclub'), 0.1853932584269663)
(('theatre', 'embassy'), 0.18518518518518517)
(('bank', 'school'), 0.18442622950819673)
(('taxi', 'school'), 0.18442622950819673)
(('recycling', 'school'), 0.18442622950819673)
(('doctors', 'waste_disposal'), 0.18362282878411912)
(('library', 'vending_machine'), 0.18324607329842932)
(('nightclub', 'taxi'), 0.18309859154929578)
(('library', 'taxi'), 0.18309859154929578)
(('fast_food', 'clock'), 0.1830065359477124)
(('bench', 'doctors'), 0.18229166666666666)
(('bank', 'doctors'), 0.18181818181818182)
(('cafe', 'language_school;offices'), 0.18181818181818182)
(('bar', 'fire_station'), 0.18181818181818182)
(('pub', 'fire_station'), 0.18181818181818182)
(('stripclub', 'fire_station'), 0.18181818181818182)
(('drinking_water', 'fire_station'), 0.18181818181818182)
(('fire_station', 'fire_station'), 0.18181818181818182)
(('restaurant', 'clock'), 0.18028169014084508)
(('kindergarten', 'shelter'), 0.17732558139534885)
(('fuel', 'fast_food'), 0.17647058823529413)
(('theatre', 'pub'), 0.17647058823529413)
(('parking_entrance', 'fountain'), 0.17575757575757575)
(('cafe', 'university'), 0.17543859649122806)
(('clock', 'bank'), 0.17532467532467533)
(('telephone', 'cafe'), 0.17424242424242425)
(('recycling', 'library'), 0.17406143344709898)
(('doctors', 'atm'), 0.17358490566037735)
(('dentist', 'post_office'), 0.17333333333333334)
(('toilets', 'place_of_worship'), 0.17333333333333334)
(('embassy', 'vending_machine'), 0.17277486910994763)
(('bureau_de_change', 'ice_cream'), 0.1724137931034483)
(('vending_machine', 'kindergarten'), 0.171875)
(('taxi', 'kindergarten'), 0.171875)
(('waste_basket', 'parking'), 0.1717588769611891)
(('doctors', 'parking'), 0.17109826589595376)
(('embassy', 'public_building'), 0.17073170731707318)
(('pub', 'public_building'), 0.17073170731707318)
(('beater', 'public_building'), 0.17073170731707318)
(('bench', 'library'), 0.17057291666666666)
(('cafe', 'bench'), 0.17057291666666666)
(('bench', 'vending_machine'), 0.17057291666666666)
(('recycling', 'fast_food'), 0.16993464052287582)
(('pharmacy', 'bureau_de_change'), 0.16972477064220184)
(('bench', 'taxi'), 0.16927083333333334)
(('taxi', 'fountain'), 0.16901408450704225)
(('bar', 'bank'), 0.16883116883116883)
(('bureau_de_change', 'bicycle_rental'), 0.168141592920354)
(('fountain', 'bicycle_rental'), 0.168141592920354)
(('doctors', 'school'), 0.1680327868852459)
(('recycling', 'post_box'), 0.16723549488054607)
(('theatre', 'cinema'), 0.16666666666666666)
(('boat_rental', 'ferry_terminal'), 0.16666666666666666)
(('bbq]', 'ferry_terminal'), 0.16666666666666666)
(('clinic', 'clinic'), 0.16666666666666666)
(('bar', 'social_facility'), 0.16666666666666666)
(('ferry_terminal', 'arts_centre'), 0.16666666666666666)
(('bbq', 'food_court'), 0.16666666666666666)
(('bbq', 'social_facility'), 0.16666666666666666)
(('food_court', 'car_rental'), 0.16666666666666666)
(('stripclub', 'fountain'), 0.16666666666666666)
(('language_school', 'cinema'), 0.16666666666666666)
(('clinic', 'bar'), 0.16666666666666666)
(('cafe', 'social_facility'), 0.16666666666666666)
(('language_school;offices', 'fountain'), 0.16666666666666666)
(('language_school;offices', 'townhall'), 0.16666666666666666)
(('stripclub', 'townhall'), 0.16666666666666666)
(('townhall', 'fountain'), 0.16666666666666666)
(('monastery', 'townhall'), 0.16666666666666666)
(('waste_disposal', 'car_wash'), 0.1662531017369727)
(('bicycle_repair_station', 'restaurant'), 0.16619718309859155)
(('restaurant', 'language_school;offices'), 0.16619718309859155)
(('bicycle_parking', 'public_building'), 0.16573033707865167)
(('bicycle_parking', 'clock'), 0.16573033707865167)
(('waste_basket', 'post_box'), 0.16535433070866143)
(('library', 'place_of_worship'), 0.16260162601626016)
(('dentist', 'bank'), 0.16233766233766234)
(('vending_machine', 'hospital'), 0.16230366492146597)
(('fountain', 'atm'), 0.16226415094339622)
(('pub', 'atm'), 0.16226415094339622)
(('marketplace', 'hospital'), 0.16129032258064516)
(('waste_basket', 'post_office'), 0.16)
(('parking_entrance', 'post_office'), 0.16)
(('post_office', 'toilets'), 0.16)
(('nightclub', 'cinema'), 0.16)
(('bicycle_rental', 'fuel'), 0.1592920353982301)
(('parking', 'cafe'), 0.15904211395540876)
(('dentist', 'dentist'), 0.15789473684210525)
(('pub', 'university'), 0.15789473684210525)
(('bicycle_repair_station', 'pub'), 0.15789473684210525)
(('fast_food', 'car_wash'), 0.1568627450980392)
(('pub', 'studio'), 0.1568627450980392)
(('fast_food', 'townhall'), 0.1568627450980392)
(('fountain', 'community_centre'), 0.15625)
(('bench', 'toilets'), 0.15625)
(('studio', 'bar'), 0.15625)
(('dentist', 'pharmacy'), 0.1559633027522936)
(('ice_cream', 'restaurant'), 0.15492957746478872)
(('bar', 'taxi'), 0.15492957746478872)
(('embassy', 'taxi'), 0.15492957746478872)
(('atm', 'car_wash'), 0.15471698113207547)
(('ice_cream', 'ice_cream'), 0.15384615384615385)
(('nightclub', 'ice_cream'), 0.15384615384615385)
(('police', 'hospital'), 0.15384615384615385)
(('telephone', 'ice_cream'), 0.15384615384615385)
(('fountain', 'police'), 0.15384615384615385)
(('compressed_air', 'car_wash'), 0.15384615384615385)
(('library', 'telephone'), 0.15254237288135594)
(('library', 'language_school'), 0.15254237288135594)
(('library', 'bar'), 0.15254237288135594)
(('theatre', 'restaurant'), 0.15211267605633802)
(('waste_basket', 'parking_entrance'), 0.15151515151515152)
(('toilets', 'pharmacy'), 0.15137614678899083)
(('pharmacy', 'hospital'), 0.15137614678899083)
(('embassy', 'bicycle_rental'), 0.1504424778761062)
(('waste_basket', 'bank'), 0.14935064935064934)
(('marketplace', 'bank'), 0.14935064935064934)
(('restaurant', 'monastery'), 0.14929577464788732)
(('bicycle_repair_station', 'bicycle_parking'), 0.14887640449438203)
(('fast_food', 'kindergarten'), 0.1484375)
(('library', 'kindergarten'), 0.1484375)
(('bicycle_repair_station', 'embassy'), 0.14814814814814814)
(('arts_centre', 'embassy'), 0.14814814814814814)
(('parking_entrance', 'school'), 0.14754098360655737)
(('recycling', 'community_centre'), 0.14675767918088736)
(('bicycle_repair_station', 'toilets'), 0.14666666666666667)
(('bar', 'toilets'), 0.14666666666666667)
(('toilets', 'library'), 0.14666666666666667)
(('restaurant', 'kindergarten'), 0.14647887323943662)
(('taxi', 'place_of_worship'), 0.14634146341463414)
(('bureau_de_change', 'public_building'), 0.14634146341463414)
(('bicycle_parking', 'telephone'), 0.14606741573033707)
