Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('pharmacy', 'library'), 0.06880733944954129)
(('pharmacy', 'hospital'), 0.06880733944954129)
(('fuel', 'shelter'), 0.06831395348837209)
(('cafe', 'cinema'), 0.06818181818181818)
(('fuel', 'fuel'), 0.06818181818181818)
(('nightclub', 'library'), 0.06779661016949153)
(('bicycle_parking', 'place_of_worship'), 0.06741573033707865)
(('cafe', 'parking_entrance'), 0.06666666666666667)
(('bicycle_repair_station', 'toilets'), 0.06666666666666667)
(('toilets', 'ice_cream'), 0.06666666666666667)
(('ice_cream', 'charging_station'), 0.06666666666666667)
(('post_box', 'parking_space'), 0.06666666666666667)
(('bar', 'post_box'), 0.06666666666666667)
(('dentist', 'post_office'), 0.06666666666666667)
(('toilets', 'pub'), 0.06666666666666667)
(('clock', 'bus_station'), 0.06666666666666667)
(('theatre', 'drinking_water'), 0.06666666666666667)
(('bureau_de_change', 'post_office'), 0.06666666666666667)
(('theatre', 'cinema'), 0.06666666666666667)
(('language_school', 'clock'), 0.06666666666666667)
(('telephone', 'clock'), 0.06666666666666667)
(('clock', 'clinic'), 0.06666666666666667)
(('place_of_worship', 'place_of_worship'), 0.06504065040650407)
(('recycling', 'waste_basket'), 0.06484641638225255)
(('library', 'restaurant'), 0.0647887323943662)
(('theatre', 'hospital'), 0.06451612903225806)
(('arts_centre', 'hospital'), 0.06451612903225806)
(('marketplace', 'pharmacy'), 0.06422018348623854)
(('atm', 'nightclub'), 0.06415094339622641)
(('parking_entrance', 'vending_machine'), 0.06282722513089005)
(('post_box', 'community_centre'), 0.0625)
(('embassy', 'community_centre'), 0.0625)
(('bar', 'ferry_terminal'), 0.0625)
(('bar', 'community_centre'), 0.0625)
(('cafe', 'community_centre'), 0.0625)
(('bar', 'language_school;offices'), 0.0625)
(('stripclub', 'community_centre'), 0.0625)
(('post_office', 'waste_disposal'), 0.062034739454094295)
(('bicycle_rental', 'bicycle_repair_station'), 0.061946902654867256)
(('waste_basket', 'bicycle_parking'), 0.06179775280898876)
(('pharmacy', 'school'), 0.06147540983606557)
(('kindergarten', 'parking'), 0.06143682906688687)
(('post_office', 'recycling'), 0.06143344709897611)
(('parking_entrance', 'fast_food'), 0.06060606060606061)
(('cafe', 'parking_space'), 0.06060606060606061)
