Duration: 14869 s 
Number of collocations: 1794
(('drinking_water', 'arts_centre'), 0.021739130434782608)
(('motorcycle_parking', 'arts_centre'), 0.021739130434782608)
(('school', 'bank'), 0.021696252465483234)
(('training', 'bank'), 0.021696252465483234)
(('payment_terminal', 'pharmacy'), 0.02164009111617312)
(('bureau_de_change', 'public_service'), 0.021505376344086023)
(('bureau_de_change', 'device_charging_station'), 0.021505376344086023)
(('post_box', 'college'), 0.02127659574468085)
(('post_box', 'clock'), 0.02127659574468085)
(('doctors', 'post_box'), 0.02127659574468085)
(('post_box', 'hookah_lounge'), 0.02127659574468085)
(('parking_entrance', 'doctors'), 0.02127659574468085)
(('doctors', 'community_centre'), 0.02127659574468085)
(('post_box', 'photo_lab'), 0.02127659574468085)
(('post_box', 'post_box'), 0.02127659574468085)
(('dentist', 'parking'), 0.0212347620920173)
(('school', 'place_of_worship'), 0.02109704641350211)
(('school', 'bar'), 0.02109704641350211)
(('bicycle_parking', 'recycling'), 0.020958083832335328)
(('kindergarten', 'waste_disposal'), 0.020892687559354226)
(('parking_entrance', 'parking'), 0.020841525756979944)
(('bench', 'clock'), 0.020840012824623277)
(('bank', 'car_wash'), 0.020710059171597635)
