Duration: 9156 s 
Number of collocations: 1179
(('scrapyard', 'payment_terminal'), 1)
(('bureau_de_change', 'post_office'), 0.04)
(('post_office', 'theatre'), 0.04)
(('nightclub', 'arts_centre'), 0.04)
(('nightclub', 'ice_cream'), 0.04)
(('social_facility', 'nightclub'), 0.04)
(('restaurant', 'library'), 0.03943661971830986)
(('waste_basket', 'bicycle_rental'), 0.03937007874015748)
(('waste_basket', 'post_office'), 0.03937007874015748)
(('bicycle_parking', 'doctors'), 0.03932584269662921)
(('waste_basket', 'bicycle_parking'), 0.03932584269662921)
(('shelter', 'school'), 0.03924418604651163)
(('fast_food', 'fuel'), 0.0392156862745098)
(('clock', 'pub'), 0.0392156862745098)
(('pub', 'drinking_water'), 0.0392156862745098)
(('kindergarten', 'kindergarten'), 0.0390625)
(('bank', 'public_building'), 0.03896103896103896)
(('police', 'food_court'), 0.038461538461538464)
(('police', 'pub'), 0.038461538461538464)
(('compressed_air', 'car_wash'), 0.038461538461538464)
(('bar', 'cafe'), 0.03787878787878788)
(('cafe', 'cinema'), 0.03787878787878788)
(('cafe', 'ice_cream'), 0.03787878787878788)
(('kindergarten', 'bench'), 0.037760416666666664)
(('atm', 'post_office'), 0.03773584905660377)
(('waste_basket', 'atm'), 0.03773584905660377)
(('waste_disposal', 'kindergarten'), 0.03722084367245657)
(('waste_disposal', 'taxi'), 0.03722084367245657)
(('restaurant', 'waste_disposal'), 0.03722084367245657)
(('studio', 'embassy'), 0.037037037037037035)
(('embassy', 'theatre'), 0.037037037037037035)
(('advertising', 'embassy'), 0.037037037037037035)
(('bicycle_parking', 'school'), 0.036885245901639344)
(('pharmacy', 'parking_entrance'), 0.03669724770642202)
(('hospital', 'pharmacy'), 0.03669724770642202)
(('vending_machine', 'kindergarten'), 0.03664921465968586)
(('vending_machine', 'fuel'), 0.03664921465968586)
(('pub', 'parking'), 0.03649876135425268)
(('theatre', 'bench'), 0.036458333333333336)
(('parking_entrance', 'bureau_de_change'), 0.03636363636363636)
(('cinema', 'parking_entrance'), 0.03636363636363636)
(('bench', 'parking_entrance'), 0.03636363636363636)
(('bicycle_rental', 'parking_entrance'), 0.03636363636363636)
(('shelter', 'place_of_worship'), 0.036337209302325583)
(('car_wash', 'bicycle_rental'), 0.035398230088495575)
(('kindergarten', 'bicycle_rental'), 0.035398230088495575)
(('bicycle_rental', 'clock'), 0.035398230088495575)
(('bicycle_rental', 'embassy'), 0.035398230088495575)
(('bicycle_rental', 'parking_space'), 0.035398230088495575)
(('ice_cream', 'bicycle_rental'), 0.035398230088495575)
(('parking', 'place_of_worship'), 0.03534269199009083)
(('university', 'vending_machine'), 0.03508771929824561)
(('university', 'university'), 0.03508771929824561)
(('toilets', 'shelter'), 0.03488372093023256)
(('waste_disposal', 'doctors'), 0.034739454094292806)
(('bicycle_repair_station', 'bureau_de_change'), 0.034482758620689655)
(('music_school', 'bureau_de_change'), 0.034482758620689655)
(('embassy', 'bureau_de_change'), 0.034482758620689655)
(('arts_centre', 'bureau_de_change'), 0.034482758620689655)
(('ice_cream', 'bureau_de_change'), 0.034482758620689655)
(('language_school', 'bureau_de_change'), 0.034482758620689655)
(('police', 'bureau_de_change'), 0.034482758620689655)
(('atm', 'fuel'), 0.033962264150943396)
(('atm', 'ice_cream'), 0.033962264150943396)
(('library', 'university'), 0.03389830508474576)
(('embassy', 'library'), 0.03389830508474576)
(('bench', 'parking_space'), 0.033854166666666664)
(('parking', 'bureau_de_change'), 0.03352601156069364)
(('shelter', 'bar'), 0.03343023255813953)
(('post_box', 'charging_station'), 0.03333333333333333)
(('bar', 'post_box'), 0.03333333333333333)
(('theatre', 'post_box'), 0.03333333333333333)
(('school', 'vending_machine'), 0.03278688524590164)
(('bicycle_rental', 'place_of_worship'), 0.032520325203252036)
(('dentist', 'place_of_worship'), 0.032520325203252036)
(('bicycle_repair_station', 'bank'), 0.032467532467532464)
(('bank', 'music_school'), 0.032467532467532464)
(('bank', 'ice_cream'), 0.032467532467532464)
(('bank', 'advertising'), 0.032467532467532464)
(('toilets', 'parking'), 0.03236994219653179)
(('hospital', 'bureau_de_change'), 0.03225806451612903)
(('hospital', 'fast_food'), 0.03225806451612903)
(('hospital', 'monastery'), 0.03225806451612903)
(('hospital', 'police'), 0.03225806451612903)
(('bicycle_repair_station', 'pharmacy'), 0.03211009174311927)
(('shelter', 'theatre'), 0.03197674418604651)
(('toilets', 'waste_basket'), 0.031496062992125984)
(('fast_food', 'waste_basket'), 0.031496062992125984)
(('vending_machine', 'police'), 0.031413612565445025)
(('vending_machine', 'pub'), 0.031413612565445025)
(('community_centre', 'fire_station'), 0.03125)
(('bench', 'school'), 0.03125)
(('charging_station', 'bar'), 0.03125)
(('bureau_de_change', 'community_centre'), 0.03125)
(('bank', 'community_centre'), 0.03125)
(('music_school', 'community_centre'), 0.03125)
(('lombard_banking', 'community_centre'), 0.03125)
(('community_centre', 'theatre'), 0.03125)
(('bench', 'embassy'), 0.03125)
(('post_office', 'bicycle_parking'), 0.03089887640449438)
(('nightclub', 'bicycle_parking'), 0.03089887640449438)
(('bicycle_parking', 'telephone'), 0.03089887640449438)
(('recycling', 'doctors'), 0.030716723549488054)
(('shelter', 'recycling'), 0.030523255813953487)
(('post_office', 'shelter'), 0.030523255813953487)
(('doctors', 'cafe'), 0.030303030303030304)
(('dentist', 'cafe'), 0.030303030303030304)
(('police', 'cafe'), 0.030303030303030304)
(('telephone', 'cafe'), 0.030303030303030304)
(('atm', 'public_building'), 0.03018867924528302)
(('library', 'atm'), 0.03018867924528302)
(('theatre', 'atm'), 0.03018867924528302)
(('nightclub', 'atm'), 0.03018867924528302)
(('waste_basket', 'waste_disposal'), 0.02977667493796526)
(('parking', 'waste_basket'), 0.029562345169281586)
(('theatre', 'doctors'), 0.028985507246376812)
(('parking', 'kindergarten'), 0.028736581337737408)
(('bench', 'fuel'), 0.028645833333333332)
(('bench', 'language_school'), 0.028645833333333332)
(('hospital', 'restaurant'), 0.028169014084507043)
(('hospital', 'taxi'), 0.028169014084507043)
(('taxi', 'dentist'), 0.028169014084507043)
(('restaurant', 'public_building'), 0.028169014084507043)
(('taxi', 'arts_centre'), 0.028169014084507043)
(('restaurant', 'cinema'), 0.028169014084507043)
(('public_building', 'taxi'), 0.028169014084507043)
(('taxi', 'bus_station'), 0.028169014084507043)
(('taxi', 'telephone'), 0.028169014084507043)
(('taxi', 'courthouse'), 0.028169014084507043)
(('bicycle_parking', 'bar'), 0.028089887640449437)
(('fountain', 'fire_station'), 0.027777777777777776)
(('fountain', 'marketplace'), 0.027777777777777776)
(('studio', 'fountain'), 0.027777777777777776)
(('townhall', 'fountain'), 0.027777777777777776)
(('fountain', 'police'), 0.027777777777777776)
(('theatre', 'fountain'), 0.027777777777777776)
(('fountain', 'hospital'), 0.027777777777777776)
(('fountain', 'monastery'), 0.027777777777777776)
(('fountain', 'telephone'), 0.027777777777777776)
(('fountain', 'courthouse'), 0.027777777777777776)
(('fountain', 'college'), 0.027777777777777776)
(('bar', 'fountain'), 0.027777777777777776)
(('pharmacy', 'doctors'), 0.027522935779816515)
(('pharmacy', 'post_box'), 0.027522935779816515)
(('recycling', 'taxi'), 0.027303754266211604)
(('waste_basket', 'recycling'), 0.027303754266211604)
(('ice_cream', 'recycling'), 0.027303754266211604)
(('veterinary', 'post_office'), 0.02666666666666667)
(('dentist', 'toilets'), 0.02666666666666667)
(('post_office', 'dentist'), 0.02666666666666667)
(('veterinary', 'toilets'), 0.02666666666666667)
(('library', 'post_office'), 0.02666666666666667)
(('toilets', 'embassy'), 0.02666666666666667)
(('bicycle_repair_station', 'toilets'), 0.02666666666666667)
(('post_office', 'university'), 0.02666666666666667)
(('toilets', 'university'), 0.02666666666666667)
(('pub', 'toilets'), 0.02666666666666667)
(('police', 'post_office'), 0.02666666666666667)
(('parking_space', 'toilets'), 0.02666666666666667)
(('post_office', 'pub'), 0.02666666666666667)
(('courthouse', 'toilets'), 0.02666666666666667)
(('college', 'toilets'), 0.02666666666666667)
(('ice_cream', 'post_office'), 0.02666666666666667)
(('clock', 'toilets'), 0.02666666666666667)
(('toilets', 'outdoor_seating'), 0.02666666666666667)
(('bicycle_rental', 'university'), 0.02654867256637168)
(('bicycle_rental', 'fuel'), 0.02654867256637168)
(('community_centre', 'bicycle_rental'), 0.02654867256637168)
(('post_box', 'bicycle_rental'), 0.02654867256637168)
(('theatre', 'bicycle_rental'), 0.02654867256637168)
(('bicycle_rental', 'bicycle_rental'), 0.02654867256637168)
(('atm', 'post_box'), 0.026415094339622643)
(('atm', 'dentist'), 0.026415094339622643)
(('bicycle_repair_station', 'atm'), 0.026415094339622643)
(('atm', 'cinema'), 0.026415094339622643)
(('scrapyard', 'dentist'), 0.02631578947368421)
(('dentist', 'payment_terminal'), 0.02631578947368421)
(('events_venue', 'dentist'), 0.02631578947368421)
(('community_centre', 'dentist'), 0.02631578947368421)
(('dentist', 'veterinary'), 0.02631578947368421)
(('bicycle_repair_station', 'dentist'), 0.02631578947368421)
(('metal_scrap', 'dentist'), 0.02631578947368421)
(('dentist', 'telephone'), 0.02631578947368421)
(('dentist', 'hospital'), 0.02631578947368421)
(('bureau_de_change', 'dentist'), 0.02631578947368421)
(('embassy', 'dentist'), 0.02631578947368421)
(('car_wash', 'vending_machine'), 0.02617801047120419)
(('vending_machine', 'post_box'), 0.02617801047120419)
(('fast_food', 'bicycle_repair_station'), 0.026143790849673203)
(('fast_food', 'music_school'), 0.026143790849673203)
(('fast_food', 'car_wash'), 0.026143790849673203)
(('bank', 'doctors'), 0.025974025974025976)
(('post_box', 'bank'), 0.025974025974025976)
(('veterinary', 'car_wash'), 0.02564102564102564)
(('parking_entrance', 'car_wash'), 0.02564102564102564)
(('vacuum_cleaner', 'car_wash'), 0.02564102564102564)
(('parking', 'university'), 0.02559867877786953)
(('dentist', 'restaurant'), 0.02535211267605634)
(('restaurant', 'ice_cream'), 0.02535211267605634)
(('bicycle_parking', 'courthouse'), 0.025280898876404494)
(('parking', 'post_office'), 0.024938067712634186)
(('place_of_worship', 'doctors'), 0.024390243902439025)
